      SIZE,Shaker sort,Bubble sort,Insertion sort,Selection sort, Heap sort,Quick sort,Merge sort,Wasteful merge sort
        10,     1e-06,      FAIL,      FAIL,      FAIL,     1e-06,         0,      FAIL,     1e-06
        20,     1e-06,      FAIL,      FAIL,      FAIL,         0,     1e-06,      FAIL,     2e-06
        30,     3e-06,      FAIL,      FAIL,      FAIL,     1e-06,     1e-06,      FAIL,     2e-06
        40,     3e-06,      FAIL,      FAIL,      FAIL,     1e-06,     1e-06,      FAIL,     2e-06
        50,     5e-06,      FAIL,      FAIL,      FAIL,     2e-06,     2e-06,      FAIL,     3e-06
        60,     7e-06,      FAIL,      FAIL,      FAIL,     3e-06,     2e-06,      FAIL,     3e-06
        70,     9e-06,      FAIL,      FAIL,      FAIL,     2e-06,     1e-06,      FAIL,     6e-06
        80,   1.2e-05,      FAIL,      FAIL,      FAIL,     3e-06,     3e-06,      FAIL,     4e-06
        90,   1.5e-05,      FAIL,      FAIL,      FAIL,     3e-06,     3e-06,      FAIL,     4e-06
       100,   1.9e-05,      FAIL,      FAIL,      FAIL,     4e-06,     2e-06,      FAIL,     7e-06
       200,   6.2e-05,      FAIL,      FAIL,      FAIL,   2.4e-05,     7e-06,      FAIL,   1.1e-05
       300,  0.000165,      FAIL,      FAIL,      FAIL,   1.6e-05,     9e-06,      FAIL,   2.1e-05
       400,  0.000259,      FAIL,      FAIL,      FAIL,   1.7e-05,   1.3e-05,      FAIL,   2.5e-05
       500,  0.000388,      FAIL,      FAIL,      FAIL,   2.2e-05,   1.6e-05,      FAIL,   3.3e-05
       600,  0.000545,      FAIL,      FAIL,      FAIL,   2.7e-05,   2.1e-05,      FAIL,   4.1e-05
       700,  0.000744,      FAIL,      FAIL,      FAIL,   3.3e-05,   2.6e-05,      FAIL,   5.9e-05
       800,  0.000973,      FAIL,      FAIL,      FAIL,   3.8e-05,   2.8e-05,      FAIL,   5.5e-05
       900,  0.001225,      FAIL,      FAIL,      FAIL,   4.3e-05,   3.3e-05,      FAIL,   6.2e-05
      1000,  0.001555,      FAIL,      FAIL,      FAIL,   5.1e-05,   3.9e-05,      FAIL,   9.9e-05
      2000,  0.006051,      FAIL,      FAIL,      FAIL,  0.000122,   9.7e-05,      FAIL,  0.000151
      3000,  0.013939,      FAIL,      FAIL,      FAIL,  0.000165,  0.000121,      FAIL,  0.000217
      4000,  0.025919,      FAIL,      FAIL,      FAIL,  0.000227,  0.000168,      FAIL,  0.000297
      5000,  0.041599,      FAIL,      FAIL,      FAIL,  0.000337,  0.000237,      FAIL,   0.00039
      6000,  0.060719,      FAIL,      FAIL,      FAIL,   0.00037,  0.000289,      FAIL,  0.000493
      7000,    0.0848,      FAIL,      FAIL,      FAIL,  0.000548,  0.000419,      FAIL,  0.000687
      8000,  0.109252,      FAIL,      FAIL,      FAIL,  0.000495,   0.00038,      FAIL,  0.000662
      9000,  0.136581,      FAIL,      FAIL,      FAIL,  0.000602,  0.000476,      FAIL,  0.000736
     10000,  0.169837,      FAIL,      FAIL,      FAIL,  0.000628,  0.000473,      FAIL,  0.000865
     20000,   0.69078,      FAIL,      FAIL,      FAIL,  0.001293,  0.000955,      FAIL,  0.001761
     30000,   1.56302,      FAIL,      FAIL,      FAIL,  0.002022,  0.001577,      FAIL,  0.002826
     40000,   2.76542,      FAIL,      FAIL,      FAIL,  0.005399,  0.002245,      FAIL,  0.004807
     50000,   4.39287,      FAIL,      FAIL,      FAIL,  0.003683,  0.003004,      FAIL,  0.004695
     60000,   6.20408,      FAIL,      FAIL,      FAIL,  0.004509,  0.003402,      FAIL,  0.005987
     70000,   8.46245,      FAIL,      FAIL,      FAIL,  0.005509,   0.00409,      FAIL,  0.006389
     80000,   11.2206,      FAIL,      FAIL,      FAIL,  0.007095,  0.005453,      FAIL,  0.010402
     90000,   14.2297,      FAIL,      FAIL,      FAIL,  0.007387,  0.005466,      FAIL,  0.008551
    100000,   17.5008,      FAIL,      FAIL,      FAIL,  0.008071,  0.005795,      FAIL,  0.009117
    200000,   69.1996,      FAIL,      FAIL,      FAIL,  0.021466,  0.013441,      FAIL,  0.021634
    300000,   155.787,      FAIL,      FAIL,      FAIL,  0.028916,  0.018942,      FAIL,  0.031163
