      SIZE, Heap sort,Quick sort,Wasteful merge sort
        10,     1e-06,     1e-06,     1e-06
        30,     1e-06,     1e-06,     2e-06
       100,     4e-06,     3e-06,     6e-06
       300,   1.2e-05,     9e-06,   1.9e-05
      1000,   5.3e-05,     6e-05,  0.000122
      3000,  0.000273,  0.000151,  0.000243
     10000,  0.000668,  0.000472,  0.000799
     30000,  0.002261,  0.001582,  0.002707
    100000,  0.008028,  0.005609,  0.009566
    300000,  0.029913,  0.018953,  0.030682
   1000000,  0.113173,  0.066657,  0.110405
   3000000,  0.454556,  0.210599,  0.341345
  10000000,   2.00897,   0.76078,   1.18332
  30000000,   7.49124,   2.39335,   3.81573
 100000000,   31.2488,   8.64266,   13.8723
 300000000,   115.141,   26.2943,    KILLED
