"Gandalf"         "You shall not pass!"
"Joker"           "Why so serious?"
"Han Solo"        "Chewie, we're home."
"Rocky Balboa"    "Yo, Adrian!"
"Sherlock Holmes" "Elementary, my dear Watson."
"Gollam"          "My precious."
"T-800"           "Hasta la vista, baby."
"Forrest Gump"    "Mama says, 'Stupid is as stupid does.'"
"T-800"           "I'll be back."
"James Bond"      "Bond. James Bond."
"Darth Vader"     "I am your father."
"Samuel"          "English motherfucker, do you speak it?!"
"Samuel"          "I dare you, I double dare you!"
